ID,Link,Name,Backlog,Committed,Elaboration,Build,QA,Done,Type,Status,Resolution,Blocked Days
FAB-17699,https://immediateco.atlassian.net/browse/FAB-17699,Components : Images,2018-12-21,2019-04-18,2019-04-18,2019-04-29,2019-05-29,2019-05-30,Story,Complete,Done,0
FAB-17557,https://immediateco.atlassian.net/browse/FAB-17557,Initial wireframes for member recipe creation,2018-12-11,2018-12-11,2018-12-11,2018-12-11,,2019-01-04,UX Story,Closed,Done,0
FAB-17455,https://immediateco.atlassian.net/browse/FAB-17455,Usability testing in-house of member recipe creation,2018-12-06,2018-12-06,2018-12-06,2018-12-06,2018-12-17,2018-12-17,UX Story,Complete,Done,0
FAB-17417,https://immediateco.atlassian.net/browse/FAB-17417,Legacy API Architecture,2018-12-05,,,,,,Spike,Define Task,,0
FAB-17399,https://immediateco.atlassian.net/browse/FAB-17399,Roast Calculator,,2018-12-05,2019-12-02,,,,Epic,Ready For Development,,0
FAB-17261,https://immediateco.atlassian.net/browse/FAB-17261,Design + UX audit of member recipe creation,2018-11-29,2018-11-29,2018-11-29,2018-11-29,2018-12-06,2018-12-06,UX Story,Complete,Done,0
FAB-17251,https://immediateco.atlassian.net/browse/FAB-17251,Headless Footer,2018-11-29,2019-08-01,2019-08-08,2019-08-28,,2019-09-13,Epic,Complete,Done,0
FAB-17181,https://immediateco.atlassian.net/browse/FAB-17181,Recipe Admin : Investigate moderation of user-generated content,2018-11-27,2018-11-27,2018-11-27,2018-11-29,2018-12-04,2018-12-11,Spike,Complete,Done,0
FAB-17020,https://immediateco.atlassian.net/browse/FAB-17020,My Hub : Search my saved Recipes,2018-11-19,,,,,,Epic,Define Task,,0
FAB-17017,https://immediateco.atlassian.net/browse/FAB-17017,Headless Header,2019-01-17,2019-08-12,2019-08-19,2019-09-13,,2019-10-31,Epic,Complete,Done,0
FAB-16857,https://immediateco.atlassian.net/browse/FAB-16857,My Hub : Show my Collections,2018-11-14,2019-11-19,2019-12-05,,,,Epic,Ready For Development,,0
FAB-16851,https://immediateco.atlassian.net/browse/FAB-16851,My Hub : Show my Saved Recipes,2018-11-13,2019-11-13,2019-11-25,2019-11-25,,,Epic,In Progress,,0
FAB-16839,https://immediateco.atlassian.net/browse/FAB-16839,My Hub : User Hub Homepage,2018-11-13,2019-12-05,,,,,Epic,Ready For Shaping,,0
FAB-16390,https://immediateco.atlassian.net/browse/FAB-16390,GoodFood Identity migration ,2018-10-17,2019-05-22,2019-09-26,2019-10-31,,,Epic,In Progress,,0
FAB-5840,https://immediateco.atlassian.net/browse/FAB-5840,Slider filter control,2016-07-27,2019-05-21,,,,,Story,Ready For Shaping,,0
